Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
11-12,Boys,50 FR,SCM,27.19,28.49,29.79,31.09,33.69,36.29
11-12,Boys,100 FR,SCM,59.19,1:02.09,1:04.89,1:07.69,1:13.29,1:18.99
11-12,Boys,200 FR,SCM,2:09.29,2:15.49,2:21.59,2:27.79,2:40.09,2:52.39
11-12,Boys,400 FR,SCM,4:35.59,4:48.69,5:01.79,5:14.99,5:41.19,6:07.49
11-12,Boys,800 FR,SCM,9:39.79,10:07.39,10:34.99,11:02.59,11:57.89,12:53.09
11-12,Boys,1500 FR,SCM,18:14.19,19:06.29,19:58.39,20:50.49,22:34.69,24:18.89
11-12,Boys,50 BK,SCM,31.19,32.79,34.49,36.09,39.29,42.59
11-12,Boys,100 BK,SCM,1:05.79,1:09.39,1:12.89,1:16.49,1:23.69,1:30.79
11-12,Boys,200 BK,SCM,2:23.29,2:30.09,2:36.89,2:43.69,2:57.39,3:10.99
11-12,Boys,50 BR,SCM,34.89,36.69,38.59,40.49,44.29,48.09
11-12,Boys,100 BR,SCM,1:14.99,1:18.89,1:22.79,1:26.69,1:34.49,1:42.29
11-12,Boys,200 BR,SCM,2:42.79,2:50.59,2:58.29,3:06.09,3:21.59,3:37.09
11-12,Boys,50 FL,SCM,29.59,31.19,32.79,34.49,37.69,40.99
11-12,Boys,100 FL,SCM,1:05.29,1:08.99,1:12.79,1:16.49,1:24.09,1:31.59
11-12,Boys,200 FL,SCM,2:26.29,2:33.29,2:40.29,2:47.19,3:01.19,3:15.09
11-12,Boys,100 IM,SCM,1:07.49,1:10.69,1:13.99,1:17.29,1:23.89,1:30.49
11-12,Boys,200 IM,SCM,2:25.99,2:33.39,2:40.89,2:48.29,3:03.19,3:18.09
11-12,Boys,400 IM,SCM,5:12.49,5:27.39,5:42.29,5:57.19,6:26.89,6:56.69
11-12,Boys,200 FR-R,SCM,1:55.29,2:00.79,2:06.29,2:11.79,2:22.79,2:33.69
11-12,Boys,400 FR-R,SCM,4:14.19,4:26.29,4:38.39,4:50.49,5:14.69,5:38.99
11-12,Boys,200 MED-R,SCM,2:07.79,2:13.79,2:19.89,2:25.99,2:38.19,2:50.29
11-12,Boys,400 MED-R,SCM,4:41.59,4:54.99,5:08.39,5:21.79,5:48.59,6:15.39
13-14,Girls,50 FR,SCM,35.99,33.39,30.79,29.49,28.29,26.99
