Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
17,Girls,200 FL,SCM,182.39,169.39,156.29,149.79,143.29,136.79
17,Girls,200 IM,SCM,183.59,170.49,157.39,150.79,144.29,137.69
17,Girls,400 IM,SCM,391.29,363.29,335.39,321.39,307.39,293.49
17,Boys,50 FR,SCM,23.29,24.39,25.49,26.59,28.79,30.99
17,Boys,100 FR,SCM,50.89,53.29,55.69,58.19,62.99,67.79
17,Boys,200 FR,SCM,112.19,117.49,122.89,128.19,138.89,149.59
17,Boys,400 FR,SCM,241.09,252.49,263.99,275.49,298.49,321.39
17,Boys,800 FR,SCM,504.89,528.89,552.99,576.99,625.09,673.19
17,Boys,1500 FR,SCM,958.09,1003.79,1049.39,1094.99,1186.29,1277.49
17,Boys,100 BK,SCM,55.39,57.99,60.69,63.29,68.59,73.79
17,Boys,200 BK,SCM,121.09,126.89,132.59,138.39,149.89,161.39
17,Boys,100 BR,SCM,62.59,65.59,68.59,71.49,77.49,83.49
17,Boys,200 BR,SCM,136.09,142.59,149.09,155.59,168.49,181.49
17,Boys,100 FL,SCM,54.79,57.39,60.09,62.69,67.89,73.09
17,Boys,200 FL,SCM,123.29,129.19,135.09,140.89,152.69,164.39
17,Boys,200 IM,SCM,123.99,129.89,135.79,141.69,153.49,165.29
17,Boys,400 IM,SCM,266.79,279.49,292.19,304.99,330.39,355.79
18,Girls,50 FR,SCM,34.79,32.29,29.89,28.59,27.39,26.09
18,Girls,100 FR,SCM,75.59,70.19,64.79,62.09,59.39,56.69
18,Girls,200 FR,SCM,164.19,152.49,140.89,134.89,128.99,123.09
18,Girls,400 FR,SCM,348.39,323.49,298.59,286.19,273.79,261.29
18,Girls,800 FR,SCM,730.09,677.89,625.79,599.69,573.59,547.59
18,Girls,1500 FR,SCM,1367.19,1269.49,1171.89,1123.09,1074.19,1025.39
18,Girls,100 BK,SCM,82.19,76.39,70.49,67.59,64.59,61.69
18,Girls,200 BK,SCM,178.79,165.99,153.19,146.89,140.49,134.09
18,Girls,100 BR,SCM,94.09,87.39,80.69,77.29,73.99,70.59
18,Girls,200 BR,SCM,204.29,189.79,175.19,167.89,160.59,153.29
18,Girls,100 FL,SCM,81.59,75.79,69.99,67.09,64.09,61.19
18,Girls,200 FL,SCM,180.69,167.79,154.89,148.49,141.99,135.59
18,Girls,200 IM,SCM,183.59,170.49,157.39,150.79,144.19,137.69
18,Girls,400 IM,SCM,391.09,363.09,335.19,321.19,307.29,293.29
18,Boys,50 FR,SCM,22.89,23.99,25.09,26.19,28.29,30.49
18,Boys,100 FR,SCM,50.29,52.69,55.09,57.49,62.29,67.09
18,Boys,200 FR,SCM,111.09,116.39,121.69,126.99,137.59,148.19
18,Boys,400 FR,SCM,239.39,250.79,262.19,273.59,296.39,319.19
18,Boys,800 FR,SCM,502.99,526.99,550.89,574.89,622.79,670.69
18,Boys,1500 FR,SCM,952.39,997.79,1043.09,1088.49,1179.19,1269.89
18,Boys,100 BK,SCM,54.39,56.99,59.59,62.09,67.29,72.49
18,Boys,200 BK,SCM,119.69,125.39,131.09,136.69,148.09,159.49
18,Boys,100 BR,SCM,62.09,65.09,67.99,70.99,76.89,82.79
18,Boys,200 BR,SCM,134.99,141.39,147.89,154.29,167.09,179.99
18,Boys,100 FL,SCM,54.39,56.99,59.59,62.09,67.29,72.49
18,Boys,200 FL,SCM,122.29,128.09,133.89,139.69,151.39,162.99
18,Boys,200 IM,SCM,122.59,128.39,134.19,140.09,151.69,163.39
18,Boys,400 IM,SCM,264.49,277.09,289.69,302.29,327.49,352.59
