standard_type,age_group,age,gender,event,course,b,bb,a,aa,aaa,aaaa
single_age,,12,boys,100 fl,scy,59.09,62.49,65.89,69.29,76.09,82.89
single_age,,12,boys,200 fl,scy,132.49,138.89,145.19,151.49,164.09,176.69
single_age,,12,boys,100 im,scy,61.09,63.99,66.99,69.99,75.89,81.89
single_age,,12,boys,200 im,scy,132.09,138.79,145.59,152.29,165.79,179.29
single_age,,12,boys,400 im,scy,283.09,296.49,309.99,323.49,350.49,377.39
single_age,,13,girls,50 fr,scy,33.29,30.89,28.59,27.39,26.19,24.99
single_age,,13,girls,100 fr,scy,72.49,67.29,62.09,59.59,56.99,54.39
single_age,,13,girls,200 fr,scy,157.69,146.49,135.19,129.59,123.89,118.29
single_age,,13,girls,500 fr,scy,420.59,390.59,360.49,345.49,330.49,315.49
single_age,,13,girls,1000 fr,scy,875.79,813.29,750.69,719.39,688.19,656.89
single_age,,13,girls,1650 fr,scy,1456.79,1352.69,1248.69,1196.69,1144.59,1092.59
single_age,,13,girls,50 bk,scy,37.19,34.59,31.89,30.59,29.29,27.89
single_age,,13,girls,100 bk,scy,79.29,73.59,67.99,65.09,62.29,59.49
single_age,,13,girls,200 bk,scy,170.99,158.79,146.59,140.39,134.29,128.19
single_age,,13,girls,50 br,scy,43.19,40.09,36.99,35.49,33.99,32.39
single_age,,13,girls,100 br,scy,90.99,84.49,77.99,74.69,71.49,68.19
single_age,,13,girls,200 br,scy,195.99,181.99,167.99,160.99,153.99,146.99
single_age,,13,girls,50 fl,scy,36.69,34.09,31.49,30.19,28.79,27.49
single_age,,13,girls,100 fl,scy,78.89,73.29,67.59,64.79,61.99,59.19
single_age,,13,girls,200 fl,scy,176.29,163.69,151.09,144.79,138.49,132.19
single_age,,13,girls,200 im,scy,176.69,164.09,151.39,145.09,138.79,132.49
single_age,,13,girls,400 im,scy,374.09,347.39,320.69,307.29,293.99,280.59
single_age,,13,boys,50 fr,scy,23.29,24.39,25.59,26.69,28.89,31.09
single_age,,13,boys,100 fr,scy,50.69,53.09,55.49,57.89,62.69,67.59
single_age,,13,boys,200 fr,scy,110.79,116.09,121.39,126.69,137.19,147.79
single_age,,13,boys,500 fr,scy,298.99,313.29,327.49,341.69,370.19,398.69
single_age,,13,boys,1000 fr,scy,618.69,648.19,677.59,707.09,765.99,824.89
single_age,,13,boys,1650 fr,scy,1040.59,1090.19,1139.69,1189.29,1288.39,1387.49
single_age,,13,boys,50 bk,scy,26.59,27.89,29.09,30.39,32.89,35.39
single_age,,13,boys,100 bk,scy,55.79,58.49,61.09,63.79,69.09,74.39
single_age,,13,boys,200 bk,scy,121.59,127.39,133.19,138.99,150.59,162.09
single_age,,13,boys,50 br,scy,30.39,31.79,33.29,34.69,37.59,40.49
single_age,,13,boys,100 br,scy,63.29,66.29,69.29,72.29,78.29,84.29
single_age,,13,boys,200 br,scy,137.19,143.79,150.29,156.79,169.89,182.99
single_age,,13,boys,50 fl,scy,25.99,27.29,28.49,29.69,32.19,34.69
single_age,,13,boys,100 fl,scy,55.29,57.99,60.59,63.19,68.49,73.79
single_age,,13,boys,200 fl,scy,123.99,129.89,135.79,141.69,153.49,165.29
single_age,,13,boys,200 im,scy,123.49,129.39,135.29,141.19,152.89,164.69
single_age,,13,boys,400 im,scy,264.59,277.19,289.79,302.39,327.59,352.79
single_age,,14,girls,50 fr,scy,32.69,30.39,27.99,26.89,25.69,24.49
single_age,,14,girls,100 fr,scy,70.99,65.89,60.89,58.29,55.79,53.29
single_age,,14,girls,200 fr,scy,153.79,142.89,131.89,126.39,120.89,115.39
single_age,,14,girls,500 fr,scy,412.29,382.89,353.39,338.69,323.99,309.29
single_age,,14,girls,1000 fr,scy,852.09,791.19,730.39,699.89,669.49,639.09
single_age,,14,girls,1650 fr,scy,1425.29,1323.49,1221.69,1170.79,1119.89,1068.99
single_age,,14,girls,50 bk,scy,36.59,33.99,31.39,29.99,28.69,27.39
single_age,,14,girls,100 bk,scy,77.19,71.69,66.19,63.39,60.69,57.89
single_age,,14,girls,200 bk,scy,167.89,155.89,143.89,137.89,131.89,125.99
single_age,,14,girls,50 br,scy,42.09,39.09,36.09,34.59,33.09,31.59
single_age,,14,girls,100 br,scy,88.69,82.39,76.09,72.89,69.69,66.59
single_age,,14,girls,200 br,scy,190.99,177.39,163.79,156.89,150.09,143.29
single_age,,14,girls,50 fl,scy,35.99,33.39,30.89,29.59,28.29,26.99
single_age,,14,girls,100 fl,scy,76.89,71.39,65.89,63.19,60.39,57.69
single_age,,14,girls,200 fl,scy,171.39,159.19,146.89,140.79,134.69,128.59
single_age,,14,girls,200 im,scy,172.49,160.19,147.89,141.69,135.59,129.39
single_age,,14,girls,400 im,scy,366.19,339.99,313.89,300.79,287.69,274.59
single_age,,14,boys,50 fr,scy,22.39,23.49,24.59,25.59,27.69,29.89
single_age,,14,boys,100 fr,scy,48.79,51.19,53.49,55.79,60.39,65.09
single_age,,14,boys,200 fr,scy,106.89,111.99,117.09,122.19,132.39,142.59
single_age,,14,boys,500 fr,scy,289.49,303.29,317.09,330.79,358.39,385.99
single_age,,14,boys,1000 fr,scy,601.19,629.79,658.39,686.99,744.29,801.49
single_age,,14,boys,1650 fr,scy,1007.49,1055.49,1103.49,1151.39,1247.39,1343.29
single_age,,14,boys,50 bk,scy,25.29,26.49,27.69,28.89,31.29,33.69
single_age,,14,boys,100 bk,scy,53.49,56.09,58.59,61.19,66.29,71.39
single_age,,14,boys,200 bk,scy,116.39,121.99,127.49,132.99,144.09,155.19
single_age,,14,boys,50 br,scy,28.89,30.29,31.69,33.09,35.79,38.59
single_age,,14,boys,100 br,scy,60.49,63.39,66.19,69.09,74.89,80.59
single_age,,14,boys,200 br,scy,131.49,137.79,143.99,150.29,162.79,175.29
single_age,,14,boys,50 fl,scy,24.89,26.09,27.29,28.39,30.79,33.19
single_age,,14,boys,100 fl,scy,52.89,55.39,57.89,60.39,65.49,70.49
single_age,,14,boys,200 fl,scy,117.69,123.29,128.89,134.49,145.69,156.89
single_age,,14,boys,200 im,scy,118.49,124.09,129.79,135.39,146.69,157.99
single_age,,14,boys,400 im,scy,253.29,265.39,277.39,289.49,313.59,337.69
single_age,,15,girls,50 fr,scy,32.29,29.99,27.69,26.49,25.39,24.19
single_age,,15,girls,100 fr,scy,70.09,65.09,60.09,57.59,55.09,52.59
single_age,,15,girls,200 fr,scy,151.39,140.49,129.69,124.29,118.89,113.49
single_age,,15,girls,500 fr,scy,408.19,378.99,349.89,335.29,320.69,306.09
single_age,,15,girls,1000 fr,scy,839.89,779.89,719.89,689.89,659.89,629.89
single_age,,15,girls,1650 fr,scy,1420.99,1319.49,1217.99,1167.19,1116.49,1065.69
single_age,,15,girls,100 bk,scy,75.89,70.49,65.09,62.39,59.69,56.99
single_age,,15,girls,200 bk,scy,164.89,153.09,141.29,135.39,129.49,123.69
single_age,,15,girls,100 br,scy,87.49,81.19,74.99,71.89,68.69,65.59
