Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
16,Boys,800 FR,LCM,521.69,546.49,571.29,596.19,645.79,695.49
16,Boys,1500 FR,LCM,1003.79,1051.59,1099.39,1147.19,1242.79,1338.39
16,Boys,100 BK,LCM,59.59,62.49,65.29,68.09,73.79,79.49
16,Boys,200 BK,LCM,129.19,135.39,141.49,147.69,159.99,172.29
16,Boys,100 BR,LCM,67.39,70.59,73.79,76.99,83.49,89.89
16,Boys,200 BR,LCM,146.49,153.49,160.49,167.49,181.39,195.39
16,Boys,100 FL,LCM,57.79,60.49,63.19,65.99,71.49,76.99
16,Boys,200 FL,LCM,129.19,135.39,141.59,147.79,159.99,172.29
16,Boys,200 IM,LCM,132.39,138.69,144.99,151.29,163.89,176.49
16,Boys,400 IM,LCM,282.09,295.59,308.99,322.39,349.29,376.19
17,Girls,50 FR,LCM,36.09,33.59,30.99,29.69,28.39,27.09
17,Girls,100 FR,LCM,78.29,72.69,67.09,64.29,61.49,58.69
17,Girls,200 FR,LCM,169.39,157.29,145.19,139.19,133.09,127.09
17,Girls,400 FR,LCM,357.79,332.19,306.69,293.89,281.09,268.29
17,Girls,800 FR,LCM,741.29,688.39,635.39,608.99,582.49,555.99
17,Girls,1500 FR,LCM,1413.89,1312.89,1211.89,1161.39,1110.89,1060.39
17,Girls,100 BK,LCM,87.09,80.89,74.59,71.49,68.39,65.29
17,Girls,200 BK,LCM,188.69,175.19,161.69,154.99,148.19,141.49
17,Girls,100 BR,LCM,98.29,91.29,84.19,80.69,77.19,73.69
17,Girls,200 BR,LCM,213.09,197.89,182.59,174.99,167.39,159.79
17,Girls,100 FL,LCM,84.29,78.29,72.29,69.29,66.29,63.29
17,Girls,200 FL,LCM,186.49,173.19,159.89,153.19,146.49,139.89
17,Girls,200 IM,LCM,190.79,177.19,163.59,156.69,149.89,143.09
17,Girls,400 IM,LCM,404.79,375.89,346.99,332.59,318.09,303.59
17,Boys,50 FR,LCM,24.39,25.49,26.69,27.79,30.19,32.49
17,Boys,100 FR,LCM,52.99,55.59,58.09,60.59,65.69,70.69
17,Boys,200 FR,LCM,116.59,122.19,127.69,133.29,144.39,155.49
17,Boys,400 FR,LCM,248.69,260.59,272.39,284.29,307.89,331.59
17,Boys,800 FR,LCM,516.89,541.49,566.19,590.79,639.99,689.19
17,Boys,1500 FR,LCM,991.89,1039.09,1086.39,1133.59,1227.99,1322.49
17,Boys,100 BK,LCM,59.09,61.89,64.69,67.49,73.09,78.69
17,Boys,200 BK,LCM,128.69,134.79,140.99,147.09,159.29,171.59
17,Boys,100 BR,LCM,66.09,69.19,72.39,75.49,81.79,88.09
17,Boys,200 BR,LCM,144.19,150.99,157.89,164.69,178.49,192.19
17,Boys,100 FL,LCM,56.99,59.69,62.39,65.19,70.59,75.99
17,Boys,200 FL,LCM,127.19,133.19,139.29,145.39,157.49,169.59
17,Boys,200 IM,LCM,129.99,136.19,142.39,148.59,160.89,173.29
17,Boys,400 IM,LCM,279.09,292.39,305.69,318.99,345.59,372.19
18,Girls,50 FR,LCM,36.09,33.49,30.99,29.69,28.39,27.09
18,Girls,100 FR,LCM,78.09,72.59,66.99,64.19,61.39,58.59
18,Girls,200 FR,LCM,169.29,157.19,145.09,139.09,132.99,126.99
18,Girls,400 FR,LCM,357.09,331.59,306.09,293.39,280.59,267.79
18,Girls,800 FR,LCM,740.19,687.29,634.39,607.99,581.59,555.09
18,Girls,1500 FR,LCM,1417.19,1315.89,1214.69,1164.09,1113.49,1062.89
18,Girls,100 BK,LCM,86.59,80.39,74.19,71.09,67.99,64.89
18,Girls,200 BK,LCM,188.09,174.59,161.19,154.49,147.79,141.09
18,Girls,100 BR,LCM,98.29,91.29,84.29,80.79,77.29,73.69
18,Girls,200 BR,LCM,214.79,199.39,184.09,176.39,168.79,161.09
18,Girls,100 FL,LCM,84.19,78.19,72.19,69.19,66.19,63.09
18,Girls,200 FL,LCM,186.29,172.99,159.69,152.99,146.39,139.69
18,Girls,200 IM,LCM,190.19,176.59,162.99,156.19,149.49,142.69
18,Girls,400 IM,LCM,406.39,377.29,348.29,333.79,319.29,304.79
18,Boys,50 FR,LCM,23.99,25.09,26.29,27.39,29.69,31.99
18,Boys,100 FR,LCM,52.69,55.19,57.69,60.19,65.19,70.19
18,Boys,200 FR,LCM,115.19,120.69,126.19,131.59,142.59,153.59
18,Boys,400 FR,LCM,245.59,257.29,268.99,280.69,303.99,327.39
18,Boys,800 FR,LCM,514.29,538.79,563.29,587.69,636.69,685.69
18,Boys,1500 FR,LCM,984.09,1030.99,1077.79,1124.69,1218.39,1312.09
18,Boys,100 BK,LCM,58.69,61.39,64.19,66.99,72.59,78.19
18,Boys,200 BK,LCM,127.69,133.79,139.79,145.89,158.09,170.19
18,Boys,100 BR,LCM,65.29,68.39,71.59,74.69,80.89,87.09
18,Boys,200 BR,LCM,142.89,149.69,156.49,163.29,176.89,190.49
18,Boys,100 FL,LCM,56.29,58.89,61.59,64.29,69.69,74.99
18,Boys,200 FL,LCM,125.89,131.89,137.89,143.89,155.79,167.79
18,Boys,200 IM,LCM,129.59,135.69,141.89,148.09,160.39,172.69
18,Boys,400 IM,LCM,278.29,291.49,304.79,317.99,344.49,370.99
