Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
15,Boys,100 FR,SCY,47.49,49.79,51.99,54.29,58.79,1:03.29
15,Boys,200 FR,SCY,1:43.79,1:48.69,1:53.59,1:58.59,2:08.39,2:18.29
15,Boys,500 FR,SCY,4:42.29,4:55.69,5:09.09,5:22.59,5:49.49,6:16.29
15,Boys,1000 FR,SCY,9:47.79,10:15.79,10:43.79,11:11.79,12:07.69,13:03.69
15,Boys,1650 FR,SCY,16:20.79,17:07.49,17:54.19,18:40.89,20:14.29,21:47.69
15,Boys,100 BK,SCY,52.09,54.59,57.09,59.59,1:04.49,1:09.49
15,Boys,200 BK,SCY,1:53.89,1:59.29,2:04.69,2:10.09,2:20.99,2:31.79
15,Boys,100 BR,SCY,58.99,1:01.79,1:04.59,1:07.39,1:12.99,1:18.59
15,Boys,200 BR,SCY,2:08.59,2:14.79,2:20.89,2:26.99,2:39.19,2:51.49
15,Boys,100 FL,SCY,51.49,53.99,56.39,58.89,1:03.79,1:08.69
15,Boys,200 FL,SCY,1:55.49,2:00.99,2:06.49,2:11.99,2:22.99,2:33.99
15,Boys,200 IM,SCY,1:55.69,2:01.19,2:06.69,2:12.19,2:23.19,2:34.19
15,Boys,400 IM,SCY,4:08.69,4:20.49,4:32.39,4:44.19,5:07.89,5:31.59
16,Girls,50 FR,SCY,31.99,29.69,27.39,26.29,25.09,23.99
16,Girls,100 FR,SCY,1:09.39,1:04.39,59.49,56.99,54.49,51.99
16,Girls,200 FR,SCY,2:29.39,2:18.69,2:08.09,2:02.69,1:57.39,1:52.09
16,Girls,500 FR,SCY,6:42.59,6:13.89,5:45.09,5:30.69,5:16.39,5:01.99
16,Girls,1000 FR,SCY,13:58.19,12:58.39,11:58.49,11:28.49,10:58.59,10:28.69
16,Girls,1650 FR,SCY,23:23.29,21:43.09,20:02.89,19:12.79,18:22.59,17:32.49
16,Girls,100 BK,SCY,1:14.99,1:09.59,1:04.29,1:01.59,58.89,56.29
16,Girls,200 BK,SCY,2:42.49,2:30.89,2:19.29,2:13.49,2:07.69,2:01.89
16,Girls,100 BR,SCY,1:26.59,1:20.39,1:14.19,1:11.09,1:07.99,1:04.99
16,Girls,200 BR,SCY,3:07.49,2:54.09,2:40.69,2:33.99,2:27.29,2:20.59
16,Girls,100 FL,SCY,1:14.79,1:09.39,1:04.09,1:01.39,58.79,56.09
16,Girls,200 FL,SCY,2:46.39,2:34.49,2:22.59,2:16.69,2:10.69,2:04.79
16,Girls,200 IM,SCY,2:47.29,2:35.39,2:23.39,2:17.39,2:11.49,2:05.49
16,Girls,400 IM,SCY,5:58.19,5:32.59,5:06.99,4:54.19,4:41.49,4:28.69
16,Boys,50 FR,SCY,21.39,22.39,23.39,24.39,26.39,28.49
16,Boys,100 FR,SCY,46.79,48.99,51.29,53.49,57.89,1:02.39
16,Boys,200 FR,SCY,1:42.19,1:47.09,1:51.99,1:56.79,2:06.59,2:16.29
16,Boys,500 FR,SCY,4:37.79,4:51.09,5:04.29,5:17.49,5:43.99,6:10.39
16,Boys,1000 FR,SCY,9:38.89,10:06.39,10:33.99,11:01.59,11:56.69,12:51.79
16,Boys,1650 FR,SCY,16:04.99,16:50.89,17:36.89,18:22.79,19:54.69,21:26.59
16,Boys,100 BK,SCY,50.79,53.29,55.69,58.09,1:02.89,1:07.79
16,Boys,200 BK,SCY,1:51.39,1:56.69,2:01.99,2:07.29,2:17.89,2:28.49
16,Boys,100 BR,SCY,57.79,1:00.49,1:03.19,1:05.99,1:11.49,1:16.99
16,Boys,200 BR,SCY,2:05.29,2:11.29,2:17.29,2:23.19,2:35.19,2:47.09
16,Boys,100 FL,SCY,50.49,52.89,55.29,57.69,1:02.49,1:07.29
16,Boys,200 FL,SCY,1:53.09,1:58.39,2:03.79,2:09.19,2:19.99,2:30.69
16,Boys,200 IM,SCY,1:53.49,1:58.89,2:04.29,2:09.69,2:20.49,2:31.29
16,Boys,400 IM,SCY,4:02.99,4:14.49,4:26.09,4:37.69,5:00.79,5:23.89
17,Girls,50 FR,SCY,31.79,29.49,27.19,26.09,24.99,23.79
17,Girls,100 FR,SCY,1:08.89,1:03.99,58.99,56.59,54.09,51.69
17,Girls,200 FR,SCY,2:28.89,2:18.29,2:07.69,2:02.29,1:56.99,1:51.69
17,Girls,500 FR,SCY,6:41.69,6:12.99,5:44.29,5:29.99,5:15.59,5:01.29
17,Girls,1000 FR,SCY,13:50.99,12:51.69,11:52.29,11:22.59,10:52.89,10:23.29
17,Girls,1650 FR,SCY,23:15.79,21:36.09,19:56.39,19:06.59,18:16.69,17:26.89
17,Girls,100 BK,SCY,1:14.49,1:09.19,1:03.89,1:01.19,58.49,55.89
17,Girls,200 BK,SCY,2:41.59,2:30.09,2:18.49,2:12.79,2:06.99,2:01.19
17,Girls,100 BR,SCY,1:25.59,1:19.49,1:13.39,1:10.29,1:07.29,1:04.19
17,Girls,200 BR,SCY,3:06.79,2:53.49,2:40.09,2:33.49,2:26.79,2:20.09
17,Girls,100 FL,SCY,1:14.09,1:08.79,1:03.49,1:00.89,58.19,55.59
17,Girls,200 FL,SCY,2:45.09,2:33.29,2:21.49,2:15.59,2:09.69,2:03.79
17,Girls,200 IM,SCY,2:46.19,2:34.29,2:22.39,2:16.49,2:10.59,2:04.59
17,Girls,400 IM,SCY,5:54.09,5:28.79,5:03.49,4:50.89,4:38.19,4:25.59
17,Boys,50 FR,SCY,21.09,22.09,23.09,24.09,26.09,28.09
17,Boys,100 FR,SCY,46.09,48.29,50.39,52.59,56.99,1:01.39
17,Boys,200 FR,SCY,1:41.49,1:46.39,1:51.19,1:55.99,2:05.69,2:15.39
