standard_type,age_group,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
age_group,10 & under,boys,100,fl,4,scm,125.49,109.29,93.19,87.79,82.49,77.09
age_group,10 & under,boys,100,im,5,scm,110.09,99.09,88.09,84.39,80.79,77.09
age_group,10 & under,boys,200,im,5,scm,241.59,216.59,191.69,183.39,175.09,166.69
age_group,10 & under,boys,200,fr-r,6,scm,189.69,170.69,151.69,145.39,139.09,132.79
age_group,10 & under,boys,200,med-r,7,scm,213.69,192.29,170.89,163.79,156.69,149.59
age_group,11-12,girls,50,fr,1,scm,37.59,34.99,32.39,31.09,29.79,28.49
age_group,11-12,girls,100,fr,1,scm,82.49,76.59,70.69,67.79,64.89,61.89
age_group,11-12,girls,200,fr,1,scm,179.59,166.79,153.99,147.59,141.09,134.69
age_group,11-12,girls,400,fr,1,scm,382.29,354.99,327.69,314.09,300.39,286.79
age_group,11-12,girls,800,fr,1,scm,789.89,733.49,676.99,648.79,620.59,592.39
age_group,11-12,girls,1500,fr,1,scm,1498.39,1391.29,1284.29,1230.79,1177.29,1123.79
age_group,11-12,girls,50,bk,2,scm,42.79,39.79,36.69,35.19,33.59,32.09
age_group,11-12,girls,100,bk,2,scm,95.69,88.19,80.59,76.89,73.09,69.29
age_group,11-12,girls,200,bk,2,scm,198.29,184.19,169.99,162.89,155.79,148.79
age_group,11-12,girls,50,br,3,scm,48.59,45.19,41.69,39.89,38.19,36.49
age_group,11-12,girls,100,br,3,scm,106.59,98.69,90.79,86.89,82.99,78.99
age_group,11-12,girls,200,br,3,scm,227.29,211.09,194.89,186.69,178.59,170.49
age_group,11-12,girls,50,fl,4,scm,40.79,37.79,34.89,33.49,31.99,30.59
age_group,11-12,girls,100,fl,4,scm,94.79,87.19,79.59,75.79,72.09,68.29
age_group,11-12,girls,200,fl,4,scm,202.59,188.19,173.69,166.49,159.19,151.99
age_group,11-12,girls,100,im,5,scm,94.19,87.49,80.69,77.39,73.99,70.59
age_group,11-12,girls,200,im,5,scm,203.19,188.69,174.19,166.89,159.59,152.39
age_group,11-12,girls,400,im,5,scm,432.79,401.89,370.99,355.59,340.09,324.59
age_group,11-12,girls,200,fr-r,6,scm,159.89,148.49,137.09,131.39,125.69,119.99
age_group,11-12,girls,400,fr-r,6,scm,351.59,326.39,301.29,288.79,276.19,263.69
age_group,11-12,girls,200,med-r,7,scm,178.09,165.39,152.69,146.29,139.89,133.59
age_group,11-12,girls,400,med-r,7,scm,390.59,362.69,334.79,320.89,306.89,292.99
age_group,11-12,boys,50,fr,1,scm,36.29,33.69,31.09,29.79,28.49,27.19
age_group,11-12,boys,100,fr,1,scm,78.99,73.29,67.69,64.89,62.09,59.19
age_group,11-12,boys,200,fr,1,scm,172.39,160.09,147.79,141.59,135.49,129.29
age_group,11-12,boys,400,fr,1,scm,367.49,341.19,314.99,301.79,288.69,275.59
age_group,11-12,boys,800,fr,1,scm,773.09,717.89,662.59,634.99,607.39,579.79
age_group,11-12,boys,1500,fr,1,scm,1458.89,1354.69,1250.49,1198.39,1146.29,1094.19
age_group,11-12,boys,50,bk,2,scm,42.59,39.29,36.09,34.49,32.79,31.19
age_group,11-12,boys,100,bk,2,scm,90.79,83.69,76.49,72.89,69.39,65.79
age_group,11-12,boys,200,bk,2,scm,190.99,177.39,163.69,156.89,150.09,143.29
age_group,11-12,boys,50,br,3,scm,48.09,44.29,40.49,38.59,36.69,34.89
age_group,11-12,boys,100,br,3,scm,102.29,94.49,86.69,82.79,78.89,74.99
age_group,11-12,boys,200,br,3,scm,217.09,201.59,186.09,178.29,170.59,162.79
age_group,11-12,boys,50,fl,4,scm,40.99,37.69,34.49,32.79,31.19,29.59
age_group,11-12,boys,100,fl,4,scm,91.59,84.09,76.49,72.79,68.99,65.29
age_group,11-12,boys,200,fl,4,scm,195.09,181.19,167.19,160.29,153.29,146.29
age_group,11-12,boys,100,im,5,scm,90.49,83.89,77.29,73.99,70.69,67.49
age_group,11-12,boys,200,im,5,scm,198.09,183.19,168.29,160.89,153.39,145.99
age_group,11-12,boys,400,im,5,scm,416.69,386.89,357.19,342.29,327.39,312.49
age_group,11-12,boys,200,fr-r,6,scm,153.69,142.79,131.79,126.29,120.79,115.29
age_group,11-12,boys,400,fr-r,6,scm,338.99,314.69,290.49,278.39,266.29,254.19
age_group,11-12,boys,200,med-r,7,scm,170.29,158.19,145.99,139.89,133.79,127.79
age_group,11-12,boys,400,med-r,7,scm,375.39,348.59,321.79,308.39,294.99,281.59
age_group,13-14,girls,50,fr,1,scm,35.99,33.39,30.79,29.49,28.29,26.99
age_group,13-14,girls,100,fr,1,scm,78.49,72.89,67.29,64.49,61.69,58.89
age_group,13-14,girls,200,fr,1,scm,169.79,157.69,145.49,139.49,133.39,127.29
age_group,13-14,girls,400,fr,1,scm,360.69,334.99,309.19,296.29,283.39,270.59
age_group,13-14,girls,800,fr,1,scm,744.69,691.49,638.29,611.69,585.09,558.49
age_group,13-14,girls,1500,fr,1,scm,1414.29,1313.29,1212.29,1161.79,1111.29,1060.79
age_group,13-14,girls,50,bk,2,scm,39.99,37.19,34.29,32.89,31.49,29.99
age_group,13-14,girls,100,bk,2,scm,84.99,78.89,72.89,69.79,66.79,63.79
age_group,13-14,girls,200,bk,2,scm,183.89,170.69,157.59,150.99,144.49,137.89
age_group,13-14,girls,50,br,3,scm,46.49,43.19,39.89,38.19,36.49,34.89
age_group,13-14,girls,100,br,3,scm,97.99,90.99,83.99,80.49,76.99,73.49
age_group,13-14,girls,200,br,3,scm,211.09,195.99,180.89,173.39,165.89,158.29
age_group,13-14,girls,50,fl,4,scm,39.59,36.79,33.89,32.49,31.09,29.69
age_group,13-14,girls,100,fl,4,scm,84.89,78.79,72.79,69.69,66.69,63.69
age_group,13-14,girls,200,fl,4,scm,189.19,175.69,162.19,155.39,148.59,141.89
