standard_type,age_group,age,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
single_age,,17,girls,1000,fr,1,scy,830.99,771.69,712.29,682.59,652.89,623.29
single_age,,17,boys,1000,fr,1,scy,769.29,714.39,659.39,631.99,604.49,576.99
single_age,,17,girls,1650,fr,1,scy,1395.79,1296.09,1196.39,1146.59,1096.69,1046.89
single_age,,17,boys,1650,fr,1,scy,1285.19,1193.39,1101.59,1055.69,1009.79,963.89
single_age,,17,girls,100,bk,2,scy,74.49,69.19,63.89,61.19,58.49,55.89
single_age,,17,boys,100,bk,2,scy,66.79,62.09,57.29,54.89,52.49,50.09
single_age,,17,girls,200,bk,2,scy,161.59,150.09,138.49,132.79,126.99,121.19
single_age,,17,boys,200,bk,2,scy,146.09,135.69,125.19,119.99,114.79,109.59
single_age,,17,girls,100,br,3,scy,85.59,79.49,73.39,70.29,67.29,64.19
single_age,,17,boys,100,br,3,scy,75.49,70.09,64.69,62.09,59.39,56.69
single_age,,17,girls,200,br,3,scy,186.79,173.49,160.09,153.49,146.79,140.09
single_age,,17,boys,200,br,3,scy,164.19,152.49,140.79,134.89,129.09,123.19
single_age,,17,girls,100,fl,4,scy,74.09,68.79,63.49,60.89,58.19,55.59
single_age,,17,boys,100,fl,4,scy,66.09,61.39,56.69,54.29,51.99,49.59
single_age,,17,girls,200,fl,4,scy,165.09,153.29,141.49,135.59,129.69,123.79
single_age,,17,boys,200,fl,4,scy,148.79,138.19,127.49,122.19,116.89,111.59
single_age,,17,girls,200,im,5,scy,166.19,154.29,142.39,136.49,130.59,124.59
single_age,,17,boys,200,im,5,scy,149.59,138.89,128.19,122.89,117.49,112.19
single_age,,17,girls,400,im,5,scy,354.09,328.79,303.49,290.89,278.19,265.59
single_age,,17,boys,400,im,5,scy,321.99,298.99,275.99,264.49,252.99,241.49
single_age,,18,girls,50,fr,1,scy,31.49,29.29,26.99,25.89,24.79,23.69
single_age,,18,boys,50,fr,1,scy,27.59,25.69,23.69,22.69,21.69,20.69
single_age,,18,girls,100,fr,1,scy,68.39,63.49,58.59,56.19,53.79,51.29
single_age,,18,boys,100,fr,1,scy,60.69,56.39,51.99,49.89,47.69,45.49
single_age,,18,girls,200,fr,1,scy,148.59,137.99,127.39,122.09,116.79,111.39
single_age,,18,boys,200,fr,1,scy,134.09,124.49,114.89,110.19,105.39,100.59
single_age,,18,girls,500,fr,1,scy,398.19,369.69,341.29,327.09,312.89,298.59
single_age,,18,boys,500,fr,1,scy,364.79,338.79,312.69,299.69,286.69,273.59
single_age,,18,girls,1000,fr,1,scy,834.39,774.79,715.19,685.39,655.59,625.79
single_age,,18,boys,1000,fr,1,scy,766.49,711.79,656.99,629.59,602.29,574.89
single_age,,18,girls,1650,fr,1,scy,1375.39,1277.19,1178.89,1129.79,1080.69,1031.59
single_age,,18,boys,1650,fr,1,scy,1277.49,1186.29,1094.99,1049.39,1003.79,958.19
single_age,,18,girls,100,bk,2,scy,74.39,69.09,63.79,61.09,58.49,55.79
single_age,,18,boys,100,bk,2,scy,65.59,60.89,56.19,53.89,51.59,49.19
single_age,,18,girls,200,bk,2,scy,161.79,150.19,138.69,132.89,127.09,121.39
single_age,,18,boys,200,bk,2,scy,144.39,134.09,123.79,118.59,113.49,108.29
single_age,,18,girls,100,br,3,scy,85.19,79.09,72.99,69.99,66.89,63.89
single_age,,18,boys,100,br,3,scy,74.89,69.59,64.19,61.59,58.89,56.19
single_age,,18,girls,200,br,3,scy,184.89,171.69,158.49,151.89,145.29,138.69
single_age,,18,boys,200,br,3,scy,162.89,151.29,139.59,133.79,127.99,122.19
single_age,,18,girls,100,fl,4,scy,73.89,68.59,63.29,60.69,57.99,55.39
single_age,,18,boys,100,fl,4,scy,65.59,60.89,56.19,53.89,51.59,49.19
single_age,,18,girls,200,fl,4,scy,163.59,151.89,140.19,134.39,128.49,122.69
single_age,,18,boys,200,fl,4,scy,147.49,136.99,126.49,121.19,115.89,110.69
single_age,,18,girls,200,im,5,scy,166.09,154.29,142.39,136.49,130.49,124.59
single_age,,18,boys,200,im,5,scy,147.89,137.29,126.79,121.49,116.19,110.89
single_age,,18,girls,400,im,5,scy,353.89,328.59,303.39,290.69,278.09,265.39
single_age,,18,boys,400,im,5,scy,319.09,296.39,273.59,262.19,250.79,239.39
single_age,,10,girls,50,fr,1,scm,44.09,39.89,35.59,34.19,32.79,31.29
single_age,,10,boys,50,fr,1,scm,42.39,38.39,34.49,33.19,31.89,30.49
single_age,,10,girls,100,fr,1,scm,100.39,89.69,78.99,75.49,71.89,68.29
