Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
17-18,Girls,500 FR,SCY,396.49,368.19,339.89,325.69,311.59,297.39
17-18,Girls,1000 FR,SCY,826.09,767.09,708.09,678.59,649.09,619.59
17-18,Girls,1650 FR,SCY,1367.19,1269.59,1171.89,1123.09,1074.29,1025.39
17-18,Girls,100 BK,SCY,73.39,68.09,62.89,60.29,57.69,54.99
17-18,Girls,200 BK,SCY,158.79,147.39,136.09,130.39,124.79,119.09
17-18,Girls,100 BR,SCY,84.79,78.79,72.69,69.69,66.69,63.59
17-18,Girls,200 BR,SCY,184.69,171.49,158.29,151.69,145.09,138.49
17-18,Girls,100 FL,SCY,73.59,68.29,63.09,60.39,57.79,55.19
17-18,Girls,200 FL,SCY,162.79,151.19,139.49,133.69,127.89,122.09
17-18,Girls,200 IM,SCY,163.59,151.89,140.19,134.39,128.49,122.69
17-18,Girls,400 IM,SCY,350.69,325.59,300.59,287.99,275.49,262.99
17-18,Girls,200 FR-R,SCY,134.69,125.09,115.39,110.59,105.79,100.99
17-18,Girls,400 FR-R,SCY,289.49,268.79,248.19,237.79,227.49,217.19
17-18,Girls,800 FR-R,SCY,632.29,587.19,541.99,519.39,496.79,474.29
17-18,Girls,200 MED-R,SCY,146.89,136.39,125.89,120.69,115.39,110.19
17-18,Girls,400 MED-R,SCY,320.29,297.39,274.49,263.09,251.69,240.19
17-18,Boys,50 FR,SCY,20.69,21.69,22.59,23.59,25.59,27.59
17-18,Boys,100 FR,SCY,45.29,47.39,49.59,51.69,55.99,60.29
17-18,Boys,200 FR,SCY,100.19,104.99,109.69,114.49,123.99,133.59
17-18,Boys,500 FR,SCY,272.39,285.39,298.39,311.39,337.29,363.19
17-18,Boys,1000 FR,SCY,570.19,597.29,624.49,651.59,705.89,760.19
17-18,Boys,1650 FR,SCY,951.79,997.09,1042.39,1087.69,1178.39,1268.99
17-18,Boys,100 BK,SCY,48.89,51.29,53.59,55.89,60.59,65.19
17-18,Boys,200 BK,SCY,107.89,113.09,118.19,123.29,133.59,143.89
17-18,Boys,100 BR,SCY,55.99,58.69,61.39,63.99,69.39,74.69
17-18,Boys,200 BR,SCY,121.69,127.49,133.29,139.09,150.69,162.29
17-18,Boys,100 FL,SCY,49.09,51.39,53.69,56.09,60.79,65.39
17-18,Boys,200 FL,SCY,109.79,115.09,120.29,125.49,135.99,146.39
17-18,Boys,200 IM,SCY,110.59,115.89,121.09,126.39,136.89,147.39
17-18,Boys,400 IM,SCY,237.99,249.39,260.69,271.99,294.69,317.39
17-18,Boys,200 FR-R,SCY,86.69,90.79,94.89,99.09,107.29,115.59
17-18,Boys,400 FR-R,SCY,190.39,199.39,208.49,217.49,235.69,253.79
17-18,Boys,800 FR-R,SCY,422.99,443.09,463.19,483.39,523.69,563.89
17-18,Boys,200 MED-R,SCY,94.69,99.19,103.69,108.19,117.19,126.29
17-18,Boys,400 MED-R,SCY,207.59,217.49,227.39,237.29,257.09,276.79
