age_group,gender,event,course,B,BB,A,AA,AAA,AAAA
17-18,Boys,200 BR,SCY,2:42.29,2:30.69,2:19.09,2:13.29,2:07.49,2:01.69
17-18,Boys,100 FL,SCY,1:05.39,1:00.79,56.09,53.69,51.39,49.09
17-18,Boys,200 FL,SCY,2:26.39,2:15.99,2:05.49,2:00.29,1:55.09,1:49.79
17-18,Boys,200 IM,SCY,2:27.39,2:16.89,2:06.39,2:01.09,1:55.89,1:50.59
17-18,Boys,400 IM,SCY,5:17.39,4:54.69,4:31.99,4:20.69,4:09.39,3:57.99
17-18,Boys,200 FR-R,SCY,1:55.59,1:47.29,1:39.09,1:34.89,1:30.79,1:26.69
17-18,Boys,400 FR-R,SCY,4:13.79,3:55.69,3:37.49,3:28.49,3:19.39,3:10.39
17-18,Boys,800 FR-R,SCY,9:23.89,8:43.69,8:03.39,7:43.19,7:23.09,7:02.99
17-18,Boys,200 MED-R,SCY,2:06.29,1:57.19,1:48.19,1:43.69,1:39.19,1:34.69
17-18,Boys,400 MED-R,SCY,4:36.79,4:17.09,3:57.29,3:47.39,3:37.49,3:27.59
